,Open_Year,Length,Total
0,1969,55.68,55.68
1,1987,46.0,101.68
2,2002,83.028,184.70800000000003
3,2003,36.148,220.85600000000002
19,2004,0,220.856
20,2005,0,220.856
21,2006,0,220.856
4,2007,54.12,274.976
5,2008,139.1,414.076
6,2009,54.618,468.694
7,2010,211.1,679.794
8,2011,66.898,746.692
9,2012,136.422,883.114
10,2013,45.908,929.022
11,2014,118.762,1047.784
12,2015,21.594,1069.3780000000002
13,2016,38.204,1107.582
14,2017,64.776,1172.3580000000002
15,2018,58.926,1231.284
16,2019,110.734,1342.018
17,2020,33.33,1375.348
18,2021,70.99,1446.338
