,From,To,Distance,Line
1,古城,八角游乐园,1921,1号线
2,八角游乐园,八宝山,1953,1号线
3,八宝山,玉泉路,1479,1号线
4,玉泉路,五棵松,1810,1号线
5,五棵松,万寿路,1778,1号线
6,万寿路,公主坟,1313,1号线
7,公主坟,军事博物馆,1172,1号线
8,军事博物馆,木樨地,1166,1号线
9,木樨地,南礼士路,1291,1号线
10,南礼士路,复兴门,424,1号线
11,复兴门,西单,1596,1号线
12,西单,天安门西,1217,1号线
13,天安门西,天安门东,925,1号线
14,天安门东,王府井,852,1号线
15,王府井,东单,774,1号线
16,东单,建国门,1230,1号线
17,建国门,永安里,1377,1号线
18,永安里,国贸,790,1号线
19,国贸,大望路,1385,1号线
20,大望路,四惠,1673,1号线
21,四惠,四惠东,1714,1号线
23,西直门,车公庄,910,2号线
24,车公庄,阜成门,960,2号线
25,阜成门,复兴门,1833,2号线
26,复兴门,长椿街,1234,2号线
27,长椿街,宣武门,929,2号线
28,宣武门,和平门,851,2号线
29,和平门,前门,1171,2号线
30,前门,崇文门,1634,2号线
31,崇文门,北京站,1023,2号线
32,北京站,建国门,946,2号线
33,建国门,朝阳门,1736,2号线
34,朝阳门,东四十条,1027,2号线
35,东四十条,东直门,824,2号线
36,东直门,雍和宫,2228,2号线
37,雍和宫,安定门,792,2号线
38,安定门,鼓楼大街,1237,2号线
39,鼓楼大街,积水潭,1766,2号线
41,安河桥北,北宫门,1363,4号线
43,北宫门,西苑,1251,4号线
45,西苑,圆明园,1672,4号线
47,圆明园,北京大学东门,1295,4号线
49,北京大学东门,中关村,887,4号线
51,中关村,海淀黄庄,900,4号线
53,海淀黄庄,人民大学,1063,4号线
55,人民大学,魏公村,1051,4号线
57,魏公村,国家图书馆,1658,4号线
59,国家图书馆,动物园,1517,4号线
61,动物园,西直门,1441,4号线
63,西直门,新街口,1025,4号线
65,新街口,平安里,1100,4号线
69,西四,灵境胡同,869,4号线
71,灵境胡同,西单,1011,4号线
73,西单,宣武门,815,4号线
75,宣武门,菜市口,1152,4号线
77,菜市口,陶然亭,1200,4号线
79,陶然亭,北京南站,1643,4号线
81,北京南站,马家堡,1480,4号线
83,马家堡,角门西,827,4号线
85,角门西,公益西桥,989,4号线
88,天通苑,天通苑北,941,5号线
89,天通苑南,天通苑,964,5号线
90,立水桥,天通苑南,1544,5号线
91,立水桥南,立水桥,1306,5号线
92,北苑路北,立水桥南,1330,5号线
93,大屯路东,北苑路北,2956,5号线
94,惠新西街北口,大屯路东,1838,5号线
95,惠新西街南口,惠新西街北口,1121,5号线
96,和平西桥,惠新西街南口,1026,5号线
97,和平里北街,和平西桥,1059,5号线
98,雍和宫,和平里北街,1151,5号线
99,北新桥,雍和宫,866,5号线
100,张自忠路,北新桥,791,5号线
101,东四,张自忠路,1017,5号线
102,灯市口,东四,848,5号线
103,东单,灯市口,945,5号线
104,崇文门,东单,822,5号线
105,磁器口,崇文门,877,5号线
106,天坛东门,磁器口,1183,5号线
107,蒲黄榆,天坛东门,1900,5号线
108,刘家窑,蒲黄榆,905,5号线
109,宋家庄,刘家窑,1670,5号线
111,金安桥,苹果园,1438,6号线
112,苹果园,杨庄,839,6号线
113,杨庄,西黄村,1792,6号线
114,西黄村,廖公庄,1794,6号线
115,廖公庄,田村,2276,6号线
116,田村,海淀五路居,2140,6号线
117,海淀五路居,慈寿寺,1508,6号线
118,慈寿寺,花园桥,1431,6号线
119,花园桥,白石桥南,1167,6号线
120,白石桥南,车公庄西,1665,6号线
