,From,To,Distance,Line
0,起始站名,目的站名,距离（米）,1号线路网车站站间距信息
1,古城,八角游乐园,1921,1号线路网车站站间距信息
2,八角游乐园,八宝山,1953,1号线路网车站站间距信息
3,八宝山,玉泉路,1479,1号线路网车站站间距信息
4,玉泉路,五棵松,1810,1号线路网车站站间距信息
5,五棵松,万寿路,1778,1号线路网车站站间距信息
6,万寿路,公主坟,1313,1号线路网车站站间距信息
7,公主坟,军事博物馆,1172,1号线路网车站站间距信息
8,军事博物馆,木樨地,1166,1号线路网车站站间距信息
9,木樨地,南礼士路,1291,1号线路网车站站间距信息
10,南礼士路,复兴门,424,1号线路网车站站间距信息
11,复兴门,西单,1596,1号线路网车站站间距信息
12,西单,天安门西,1217,1号线路网车站站间距信息
13,天安门西,天安门东,925,1号线路网车站站间距信息
14,天安门东,王府井,852,1号线路网车站站间距信息
15,王府井,东单,774,1号线路网车站站间距信息
16,东单,建国门,1230,1号线路网车站站间距信息
17,建国门,永安里,1377,1号线路网车站站间距信息
18,永安里,国贸,790,1号线路网车站站间距信息
19,国贸,大望路,1385,1号线路网车站站间距信息
20,大望路,四惠,1673,1号线路网车站站间距信息
21,四惠,四惠东,1714,1号线路网车站站间距信息
22,起始站名,目的站名,距离（米）,2号线路网车站站间距信息
23,西直门,车公庄,910,2号线路网车站站间距信息
24,车公庄,阜成门,960,2号线路网车站站间距信息
25,阜成门,复兴门,1833,2号线路网车站站间距信息
26,复兴门,长椿街,1234,2号线路网车站站间距信息
27,长椿街,宣武门,929,2号线路网车站站间距信息
28,宣武门,和平门,851,2号线路网车站站间距信息
29,和平门,前门,1171,2号线路网车站站间距信息
30,前门,崇文门,1634,2号线路网车站站间距信息
31,崇文门,北京站,1023,2号线路网车站站间距信息
32,北京站,建国门,946,2号线路网车站站间距信息
33,建国门,朝阳门,1736,2号线路网车站站间距信息
34,朝阳门,东四十条,1027,2号线路网车站站间距信息
35,东四十条,东直门,824,2号线路网车站站间距信息
36,东直门,雍和宫,2228,2号线路网车站站间距信息
37,雍和宫,安定门,792,2号线路网车站站间距信息
38,安定门,鼓楼大街,1237,2号线路网车站站间距信息
39,鼓楼大街,积水潭,1766,2号线路网车站站间距信息
40,起始站名,目的站名,距离（米）,4号线路网车站站间距信息
41,安河桥北,北宫门,1363,4号线路网车站站间距信息
42,北宫门,安河桥北,1363,4号线路网车站站间距信息
43,北宫门,西苑,1251,4号线路网车站站间距信息
44,西苑,北宫门,1251,4号线路网车站站间距信息
45,西苑,圆明园,1672,4号线路网车站站间距信息
46,圆明园,西苑,1672,4号线路网车站站间距信息
47,圆明园,北京大学东门,1295,4号线路网车站站间距信息
48,北京大学东门,圆明园,1295,4号线路网车站站间距信息
49,北京大学东门,中关村,887,4号线路网车站站间距信息
50,中关村,北京大学东门,887,4号线路网车站站间距信息
51,中关村,海淀黄庄,900,4号线路网车站站间距信息
52,海淀黄庄,中关村,900,4号线路网车站站间距信息
53,海淀黄庄,人民大学,1063,4号线路网车站站间距信息
54,人民大学,海淀黄庄,1063,4号线路网车站站间距信息
55,人民大学,魏公村,1051,4号线路网车站站间距信息
56,魏公村,人民大学,1051,4号线路网车站站间距信息
57,魏公村,国家图书馆,1658,4号线路网车站站间距信息
58,国家图书馆,魏公村,1658,4号线路网车站站间距信息
59,国家图书馆,动物园,1517,4号线路网车站站间距信息
60,动物园,国家图书馆,1517,4号线路网车站站间距信息
61,动物园,西直门,1441,4号线路网车站站间距信息
62,西直门,动物园,1441,4号线路网车站站间距信息
63,西直门,新街口,1025,4号线路网车站站间距信息
64,新街口,西直门,1025,4号线路网车站站间距信息
65,新街口,平安里,1100,4号线路网车站站间距信息
66,平安里,新街口,1100,4号线路网车站站间距信息
67,平安里,西四,1100,4号线路网车站站间距信息
68,西四,平安里,1100,4号线路网车站站间距信息
69,西四,灵境胡同,869,4号线路网车站站间距信息
70,灵境胡同,西四,869,4号线路网车站站间距信息
71,灵境胡同,西单,1011,4号线路网车站站间距信息
72,西单,灵境胡同,1011,4号线路网车站站间距信息
73,西单,宣武门,815,4号线路网车站站间距信息
74,宣武门,西单,815,4号线路网车站站间距信息
75,宣武门,菜市口,1152,4号线路网车站站间距信息
76,菜市口,宣武门,1152,4号线路网车站站间距信息
77,菜市口,陶然亭,1200,4号线路网车站站间距信息
78,陶然亭,菜市口,1200,4号线路网车站站间距信息
79,陶然亭,北京南站,1643,4号线路网车站站间距信息
80,北京南站,陶然亭,1643,4号线路网车站站间距信息
81,北京南站,马家堡,1480,4号线路网车站站间距信息
82,马家堡,北京南站,1480,4号线路网车站站间距信息
83,马家堡,角门西,827,4号线路网车站站间距信息
84,角门西,马家堡,827,4号线路网车站站间距信息
85,角门西,公益西桥,989,4号线路网车站站间距信息
86,公益西桥,角门西,989,4号线路网车站站间距信息
87,起始站名,目的站名,距离（米）,5号线路网车站站间距信息
88,天通苑,天通苑北,941,5号线路网车站站间距信息
89,天通苑南,天通苑,964,5号线路网车站站间距信息
90,立水桥,天通苑南,1544,5号线路网车站站间距信息
91,立水桥南,立水桥,1306,5号线路网车站站间距信息
