Line_Name,From,To,Open_Year
1号线,古城,四惠东,1969
2号线,西直门,东直门,1987
2号线,东直门,建国门,1987
2号线,建国门,复兴门,1987
2号线,复兴门,西直门,1987
4号线,安河桥北,公益西桥,2009
5号线,天通苑北,宋家庄,2007
6号线,海淀五路居,草房,2012
6号线,草房,潞城,2014
6号线,金安桥,海淀五路居,2018
7号线,北京西站,焦化厂,2014
7号线,焦化厂,花庄,2019
7号线,花庄,环球度假区,2021
8号线,森林公园南门,北土城,2008
8号线,森林公园南门,回龙观东大街,2011
8号线,北土城,鼓楼大街,2012
8号线,回龙观东大街,朱辛庄,2013
8号线,鼓楼大街,南锣鼓巷,2013
8号线,珠市口,瀛海,2018
8号线,南锣鼓巷,中国美术馆,2018
8号线,中国美术馆,珠市口,2021
9号线,郭公庄,北京西站,2011
9号线,北京西站,国家图书馆,2012
10号线,巴沟,劲松,2008
10号线,巴沟,西局,2012
10号线,劲松,首经贸,2012
10号线,首经贸,西局,2013
11号线,金安桥,新首钢,2021
13号线,西直门,东直门,2002
14号线,张郭庄,西局,2013
14号线,金台路,善各庄,2014
14号线,金台路,西局,2021
15号线,望京西,后沙峪,2010
15号线,后沙峪,俸伯,2011
15号线,清华东路西口,望京西,2014
16号线,北安河,西苑,2016
16号线,西苑,甘家口,2020
16号线,甘家口,玉渊潭东门,2021
大兴机场线,草桥,大兴机场,2019
西郊线,香山,巴沟,2017
S1线,金安桥,石厂,2017
S1线,金安桥,苹果园,2021
燕房线,燕山,阎村东,2017
大兴线,公益西桥,天宫院,2010
昌平线,西二旗,南邵,2010
昌平线,南邵,昌平西山口,2015
昌平线,清河站,西二旗,2021
房山线,大葆台,苏庄,2010
房山线,郭公庄,大葆台,2011
房山线,阎村东,苏庄,2017
房山线,东管头南,郭公庄,2020
亦庄线,宋家庄,次渠,2010
亦庄线,次渠,亦庄火车站,2018
八通线,四惠,土桥,2003
八通线,土桥,花庄,2019
八通线,花庄,环球度假区,2021
首都机场线,东直门,2号航站楼,2008
